lib32-libappindicator-gtk2 12.10.0-13
lib32-libappindicator-gtk3 12.10.0-13
lib32-libasyncns 1:0.8+r3+g68cd5af-1
lib32-libcaca 0.99.beta20-1
lib32-libcanberra 1:0.30+r2+gc0620e4-1
lib32-libcap 2.66-1
lib32-libcups 2.4.2-1
lib32-libcurl-compat 7.85.0-1
lib32-libcurl-gnutls 7.85.0-1
lib32-libdatrie 0.2.13-1
lib32-libdbusmenu-glib 16.04.0-5
lib32-libdbusmenu-gtk2 16.04.0-5
lib32-libdbusmenu-gtk3 16.04.0-5
lib32-libdrm 2.4.113-1
lib32-libelf 0.187-1
lib32-libepoxy 1.5.10-1
lib32-libffi 3.4.2-4
lib32-libgcrypt 1.10.1-1
lib32-libgcrypt15 1.5.6-7
lib32-libglvnd 1.5.0-1
lib32-libgpg-error 1.45-1
lib32-libgudev 237-2
lib32-libgusb 0.4.1-1
lib32-libice 1.0.10-1
lib32-libid3tag 0.15.1b-3
lib32-libidn11 1.33-2
lib32-libidn2 2.3.3-1
lib32-libindicator-gtk2 12.10.1-9
lib32-libindicator-gtk3 12.10.1-9
lib32-libinstpatch 1.1.6-1
lib32-libjpeg-turbo 2.1.4-2
lib32-libjpeg6-turbo 1.5.3-2
lib32-libldap 2.6.3-1
lib32-libltdl 2.4.7-2
lib32-libmikmod 3.3.11.1-6
lib32-libmodplug 0.8.9.0-4
lib32-libnl 3.7.0-1
lib32-libnm 1.40.0-1
lib32-libnsl 2.0.0-1
lib32-libogg 1.3.5-1
lib32-libpcap 1.10.1-1
lib32-libpciaccess 0.16-1
lib32-libpng 1.6.38-1
lib32-libpng12 1.2.59-2
lib32-libproxy 0.4.18-1
lib32-libpsl 0.21.1-2
lib32-libpulse 16.1-1
